Job Title,Salary Estimate,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,salary,company_text,job_state,age
AI Model Training: Seeking STEM topic experts for AI Projects (US),$42.50 /hr (est.),3.7,"Appen
3.7",Remote,501 to 1000 Employees,1996,Company - Public,Business Consulting,Management & Consulting,Management & Consulting,42.5,Appe,Remote,27
USARPAC Data Scientist (Data Scientist 1)- 15568,"$95,507 /yr (est.)",3.6,"HII
3.6",,10000+ Employees,2011,Company - Public,Aerospace & Defense,Aerospace & Defense,Aerospace & Defense,95507.0,HI,,12
Product Data Scientist,"$124,350 /yr (est.)",3.6,"PayPal
3.6","New York, NY",501 to 1000 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Information Technology,124350.0,PayPa, NY,7
Data Scientist - REMOTE,"$112,750 /yr (est.)",4.0,"Florida Blue
4.0",Remote,10000+ Employees,1944,Nonprofit Organization,Insurance Carriers,Insurance,Insurance,112750.0,Florida Blu,Remote,79
Data Scientist,"$102,500 /yr (est.)",-1.0,Maddisoft,"Houston, TX",Unknown,-1,Company - Private,Information Technology Support Services,Information Technology,Information Technology,102500.0,Maddisoft, TX,-1
Junior Data Scientist,"$57,500 /yr (est.)",3.9,"Augray
3.9","Brookfield, WI",51 to 200 Employees,2014,Subsidiary or Business Segment,Information Technology Support Services,Information Technology,Information Technology,57500.0,Augra, WI,9
Data Scientist,"$91,500 /yr (est.)",4.3,"The Rector & Visitors of the University of Virginia
4.3","Charlottesville, VA",10000+ Employees,1819,College / University,Colleges & Universities,Education,Education,91500.0,The Rector & Visitors of the University of Virgini, VA,204
Data Scientist,$45.00 /hr (est.),5.0,"Aurora Technical Systems, LLC",Remote,1 to 50 Employees,-1,Company - Private,-1,-1,-1,45.0,Aurora Technical Systems,Remote,-1
Data Scientist,"$91,500 /yr (est.)",3.9,"Vetro Tech Inc
3.9","Seattle, WA",Unknown,-1,Company - Public,Staffing & Subcontracting,Human Resources & Staffing,Human Resources & Staffing,91500.0,Vetro Tech In, WA,-1
Data Scientist,"$108,074 /yr (est.)",4.5,"Colsh Consultants
4.5","Richfield, MN",Unknown,2005,Unknown,Information Technology Support Services,Information Technology,Information Technology,108074.0,Colsh Consultant, MN,18
Data Scientist,"$110,450 /yr (est.)",4.2,"Munich Re America
4.2","New York, NY",10000+ Employees,1880,Company - Public,Insurance Carriers,Insurance,Insurance,110450.0,Munich Re Americ, NY,143
AI Model Training: Seeking STEM topic experts for AI Projects (US),$42.50 /hr (est.),3.7,"Appen
3.7",Remote,501 to 1000 Employees,1996,Company - Public,Business Consulting,Management & Consulting,Management & Consulting,42.5,Appe,Remote,27
Data Scientist,"$175,000 /yr (est.)",4.3,"Neuberger Berman
4.3","New York, NY",1001 to 5000 Employees,1939,Company - Public,Investment & Asset Management,Financial Services,Financial Services,175000.0,Neuberger Berma, NY,84
